# Correlation function shape: (8, 1, 1, 16, 32)
# Format: [WL_index][pol][qext][gamma][time] value
# Shape dimensions: (WL_indices, polarizations, momentum_transfers, gamma_matrices, time_slices)

 -1.35844169e+03-4.78331661e+02j -2.69838418e+03-3.69708228e+02j
 -1.59234984e+04+5.17605328e+02j -2.29112561e+04+3.18873063e+04j
 -7.48458090e+03+2.33565902e+05j -4.68210908e+04+5.48062170e+05j]
WL0_P0_Q0_Y: [-4.14434329e+06+3.84188214e+06j -4.26290269e+06+7.16233375e+06j
 -2.06094350e+06+4.97061695e+06j  1.75539968e+06+3.84265556e+06j
  2.62462243e+06+2.63443171e+06j  5.07985208e+05+3.68885297e+05j
  7.19081747e+04+1.93633943e+05j -5.50852674e+03+7.53725482e+04j
 -3.32619634e+03+2.29175853e+04j -1.22742479e+03+7.06083479e+03j
 -1.23060482e+03+1.41088064e+03j -3.67963905e+02+3.30369689e+02j
 -3.38828070e+01+6.55784915e+01j -4.02602593e+00+2.56651109e+01j
  1.11432320e+00+9.71807426e+00j  1.44305335e+00+3.18898727e+00j
  5.12326413e-01+3.66065277e-01j  1.79380855e-01+3.50681984e-02j
  2.03948817e-01+5.91447594e-02j  2.21203174e-01+5.37897757e-03j
  4.16848411e-01-1.54752897e-01j  6.56570696e-01-1.46478170e+00j
  2.60699456e+00-3.06703870e+00j  1.10871343e+01+4.86914989e+00j
  2.60005079e+01+7.36613808e+01j -7.80975585e+01+2.75829202e+02j
 -9.79857289e+02+6.03537412e+02j -2.57103005e+03+2.75697976e+03j
 -1.55172471e+03+1.54107125e+04j -9.15156851e+03+4.54943826e+04j
  1.88353297e+04+1.34830915e+05j  6.44488894e+03+5.20723959e+05j]
WL0_P0_Q0_Y5: [ 6.73040397e+04-3.32098452e+06j -8.99577220e+05-1.95753312e+06j
 -3.48148919e+06-2.11265843e+06j -4.30120690e+06+1.72480336e+06j
 -8.29649716e+05+1.22068117e+06j -3.82274321e+05+3.63019341e+05j
 -5.08092848e+04+1.32507003e+05j -2.42498338e+04+1.06334745e+04j
 -8.19626912e+03+1.46553984e+04j -9.27458402e+02+2.68156799e+03j
 -7.65057237e+02+7.71308841e+01j -3.13251301e+01+8.97382173e+01j
 -1.00500052e+02+7.14609372e+01j -3.56747527e+01+1.02294181e+01j
 -1.13708987e+01+4.91687979e+00j  2.68195445e-02+1.01621637e+00j
 -1.14515008e+00-2.34800778e-01j -2.34167879e-01-7.55818050e-02j
  9.76487753e-02+2.68740250e-02j  4.39525202e-02+6.42030136e-03j
  2.75282328e-01-2.50535986e-01j  1.35623507e+00-1.75779668e+00j
 -4.12019560e+00-5.90060366e+00j -1.74554353e+01-1.15911510e+01j
  4.95177951e+00-2.71485833e+01j -9.45624120e+01-1.87732320e+02j
 -2.72711396e+02-1.46201244e+03j -2.85302632e+03-5.80769992e+03j
 -1.87330213e+04-1.45399564e+04j -4.87389986e+04-4.66968577e+04j
 -6.93410681e+04-2.06616054e+05j  7.05138194e+03-2.28374917e+05j]
WL0_P0_Q0_Z: [-1.28344127e+05+7.06172203e+05j  2.68003466e+05-9.56585661e+05j
 -1.31470200e+06+1.84379781e+06j -2.35131763e+06+1.22022191e+06j
 -3.07238821e+06+1.82326584e+06j -3.74988853e+05-3.19784167e+05j
 -1.53052109e+05-8.15302207e+04j -4.56112372e+04-1.84338598e+04j
 -1.40512838e+04+7.11725733e+03j -4.39866644e+03+5.34982415e+03j
 -1.07878167e+03+1.86992670e+03j -2.86115996e+02+5.81497891e+02j
 -1.10536565e+02+1.56448039e+02j -3.60428281e+01+4.27699005e+01j
 -4.24881641e+00+1.33133377e+01j -4.23580395e-01+3.34384617e+00j
 -2.37349403e-01+9.50400456e-01j  3.26577954e-02+1.28395640e-01j
  4.82975310e-02-1.59698631e-01j  4.99143363e-02-4.87314652e-01j
 -3.00942618e-01-1.94144121e+00j -1.64894429e+00-5.03352861e+00j
  8.01335044e-01-1.50642738e+01j  2.64002043e+01-3.02625941e+01j
  9.88809476e+01-5.85767048e+01j  3.70029151e+02+3.33706119e+00j
  8.59261543e+02+3.95840700e+02j  4.10648939e+03+3.48895740e+03j
  1.69170420e+04+1.35251994e+04j  5.72846371e+04+6.62389549e+04j
  2.02516292e+05+3.07968817e+05j  6.12619945e+05+1.52028011e+06j]
WL0_P0_Q0_Z5: [-1.93087649e+06+3.01727250e+05j -3.86836107e+06-8.40765387e+05j
 -2.65435293e+06+1.06473113e+06j -2.05904035e+06+3.10256666e+06j
 -4.15960983e+06+2.28905505e+06j -3.92003189e+05+4.17632743e+05j
 -2.08568535e+04+7.54046527e+04j  1.86893082e+04+1.90024397e+04j
  9.26596672e+03-5.75151197e+02j -8.62431953e+02-4.00802348e+03j
  9.63002556e+02-1.83075204e+03j  5.23948262e+02-7.50860486e+02j
  9.27568871e+01-1.63806849e+02j -1.44211437e+01+1.74296524e+01j
 -7.93861959e+00+1.41376690e+01j -5.26387718e+00+3.94176983e+00j
  3.84219016e-01+1.23300163e+00j -2.80941525e-02+1.05203504e-01j
  3.17235239e-01-8.64779499e-02j  2.00575492e-01-9.90299545e-02j
  3.23957473e-01-1.02088447e-01j -1.24123588e-01-1.31365405e+00j
 -3.49317813e-01-7.72875012e-01j -2.08393563e+00-2.60944442e+01j
